Data,V_SP500,V_IBOV
1/3/2005,1.202.079.956,25.722.000.000
1/4/2005,1.188.050.049,24.848.000.000
1/5/2005,1.183.739.990,24.692.000.000
1/6/2005,1.187.890.015,24.367.000.000
1/7/2005,1.186.189.941,24.747.000.000
1/10/2005,1.190.250.000,24.292.000.000
1/11/2005,1.182.989.990,24.370.000.000
1/12/2005,1.187.699.951,24.510.000.000
1/13/2005,1.177.449.951,24.806.000.000
1/14/2005,1.184.520.020,24.924.000.000
1/18/2005,1.195.979.980,24.089.000.000
1/19/2005,1.184.630.005,24.271.000.000
1/20/2005,1.175.410.034,23.610.000.000
1/21/2005,1.167.869.995,23.818.000.000
1/24/2005,1.163.750.000,24.198.000.000
1/26/2005,1.174.069.946,24.530.000.000
1/27/2005,1.174.550.049,24.030.000.000
1/28/2005,1.171.359.985,23.968.000.000
1/31/2005,1.181.270.020,24.351.000.000
2/1/2005,1.189.410.034,24.149.000.000
2/2/2005,1.193.189.941,24.605.000.000
2/3/2005,1.189.890.015,24.874.000.000
2/4/2005,1.203.030.029,25.732.000.000
2/9/2005,1.191.989.990,26.314.000.000
2/10/2005,1.197.010.010,26.416.000.000
2/11/2005,1.205.300.049,26.671.000.000
2/14/2005,1.206.140.015,26.532.000.000
2/15/2005,1.210.119.995,26.610.000.000
2/16/2005,1.210.339.966,26.384.000.000
2/17/2005,1.200.750.000,27.091.000.000
2/18/2005,1.201.589.966,26.756.000.000
2/22/2005,1.184.160.034,26.740.000.000
2/23/2005,1.190.800.049,27.198.000.000
2/24/2005,1.200.199.951,28.436.000.000
2/25/2005,1.211.369.995,28.425.000.000
2/28/2005,1.203.599.976,28.139.000.000
3/1/2005,1.210.410.034,27.730.000.000
3/2/2005,1.210.079.956,28.200.000.000
3/3/2005,1.210.469.971,28.668.000.000
3/4/2005,1.222.119.995,29.197.000.000
3/7/2005,1.225.310.059,29.455.000.000
3/8/2005,1.219.430.054,29.021.000.000
3/9/2005,1.207.010.010,28.514.000.000
3/10/2005,1.209.250.000,28.567.000.000
3/11/2005,1.200.079.956,28.075.000.000
3/14/2005,1.206.829.956,28.099.000.000
3/15/2005,1.197.750.000,27.588.000.000
3/16/2005,1.188.069.946,27.827.000.000
3/17/2005,1.190.209.961,28.086.000.000
3/18/2005,1.189.650.024,27.593.000.000
3/21/2005,1.183.780.029,27.411.000.000
3/22/2005,1.171.709.961,26.618.000.000
3/23/2005,1.172.530.029,26.248.000.000
3/24/2005,1.171.420.044,26.702.000.000
3/28/2005,1.174.280.029,26.257.000.000
3/29/2005,1.165.359.985,25.842.000.000
3/30/2005,1.181.410.034,26.470.000.000
3/31/2005,1.180.589.966,26.611.000.000
4/1/2005,1.172.920.044,26.774.000.000
4/4/2005,1.176.119.995,26.407.000.000
4/5/2005,1.181.390.015,26.038.000.000
4/6/2005,1.184.069.946,25.695.000.000
4/7/2005,1.191.140.015,26.308.000.000
4/8/2005,1.181.199.951,25.885.000.000
4/11/2005,1.181.209.961,25.900.000.000
4/12/2005,1.187.760.010,26.206.000.000
4/13/2005,1.173.790.039,26.066.000.000
4/14/2005,1.162.050.049,24.984.000.000
4/15/2005,1.142.619.995,24.656.000.000
4/18/2005,1.145.979.980,24.877.000.000
4/19/2005,1.152.780.029,25.566.000.000
4/20/2005,1.137.500.000,25.062.000.000
4/22/2005,1.152.119.995,24.767.000.000
4/25/2005,1.162.099.976,25.232.000.000
4/26/2005,1.151.829.956,25.305.000.000
4/27/2005,1.156.380.005,25.242.000.000
4/28/2005,1.143.219.971,24.440.000.000
4/29/2005,1.156.849.976,24.844.000.000
5/2/2005,1.162.160.034,24.705.000.000
5/3/2005,1.161.170.044,24.716.000.000
5/4/2005,1.175.650.024,25.474.000.000
5/5/2005,1.172.630.005,25.436.000.000
5/6/2005,1.171.349.976,25.589.000.000
5/9/2005,1.178.839.966,25.465.000.000
5/10/2005,1.166.219.971,24.763.000.000
5/11/2005,1.171.109.985,24.699.000.000
5/12/2005,1.159.359.985,24.117.000.000
5/13/2005,1.154.050.049,23.887.000.000
5/16/2005,1.165.689.941,24.379.000.000
5/17/2005,1.173.800.049,24.413.000.000
5/18/2005,1.185.560.059,24.898.000.000
5/19/2005,1.191.079.956,24.829.000.000
5/20/2005,1.189.280.029,24.522.000.000
5/23/2005,1.193.859.985,24.215.000.000
5/24/2005,1.194.069.946,24.545.000.000
5/25/2005,1.190.010.010,24.478.000.000
5/27/2005,1.198.780.029,25.255.000.000
5/31/2005,1.191.500.000,25.207.000.000
6/1/2005,1.202.219.971,25.949.000.000
6/2/2005,1.204.290.039,26.640.000.000
6/3/2005,1.196.020.020,26.366.000.000
6/6/2005,1.197.510.010,25.556.000.000
6/7/2005,1.197.260.010,25.026.000.000
6/8/2005,1.194.670.044,24.702.000.000
6/9/2005,1.200.930.054,24.484.000.000
6/10/2005,1.198.109.985,24.951.000.000
6/13/2005,1.200.819.946,24.902.000.000
6/14/2005,1.203.910.034,25.744.000.000
6/15/2005,1.206.579.956,25.481.000.000
6/16/2005,1.210.959.961,25.751.000.000
6/17/2005,1.216.959.961,26.093.000.000
6/20/2005,1.216.099.976,26.046.000.000
6/21/2005,1.213.609.985,25.722.000.000
6/22/2005,1.213.880.005,25.678.000.000
6/23/2005,1.200.729.980,24.816.000.000
6/24/2005,1.191.569.946,24.917.000.000
6/27/2005,1.190.689.941,25.226.000.000
6/28/2005,1.201.569.946,25.261.000.000
6/29/2005,1.199.849.976,25.126.000.000
6/30/2005,1.191.329.956,25.051.000.000
7/1/2005,1.194.439.941,25.311.000.000
7/5/2005,1.204.989.990,24.675.000.000
7/6/2005,1.194.939.941,24.517.000.000
7/7/2005,1.197.869.995,24.450.000.000
7/8/2005,1.211.859.985,24.423.000.000
7/11/2005,1.219.439.941,25.016.000.000
7/12/2005,1.222.209.961,25.536.000.000
7/13/2005,1.223.290.039,25.856.000.000
7/14/2005,1.226.500.000,25.920.000.000
7/15/2005,1.227.920.044,25.222.000.000
7/18/2005,1.221.130.005,25.321.000.000
7/19/2005,1.229.349.976,25.271.000.000
7/20/2005,1.235.199.951,25.705.000.000
7/21/2005,1.227.040.039,25.842.000.000
7/22/2005,1.233.680.054,25.391.000.000
7/25/2005,1.229.030.029,24.531.000.000
7/26/2005,1.231.160.034,24.868.000.000
7/27/2005,1.236.790.039,25.338.000.000
7/28/2005,1.243.719.971,26.068.000.000
7/29/2005,1.234.180.054,26.042.000.000
8/1/2005,1.235.349.976,26.298.000.000
8/2/2005,1.244.119.995,26.789.000.000
8/3/2005,1.245.040.039,26.714.000.000
8/4/2005,1.235.859.985,26.470.000.000
8/5/2005,1.226.420.044,26.518.000.000
8/8/2005,1.223.130.005,26.711.000.000
8/9/2005,1.231.380.005,27.291.000.000
8/10/2005,1.229.130.005,27.117.000.000
8/11/2005,1.237.810.059,26.633.000.000
8/12/2005,1.230.390.015,26.951.000.000
8/15/2005,1.233.869.995,27.375.000.000
8/16/2005,1.219.339.966,27.080.000.000
8/17/2005,1.220.239.990,27.416.000.000
8/18/2005,1.219.020.020,26.900.000.000
8/19/2005,1.219.709.961,26.644.000.000
8/22/2005,1.221.729.980,27.261.000.000
8/23/2005,1.217.589.966,26.769.000.000
8/24/2005,1.209.589.966,26.712.000.000
8/25/2005,1.212.369.995,27.402.000.000
8/26/2005,1.205.099.976,27.095.000.000
8/29/2005,1.212.280.029,27.385.000.000
8/30/2005,1.208.410.034,27.604.000.000
8/31/2005,1.220.329.956,28.045.000.000
9/1/2005,1.221.589.966,27.962.000.000
9/2/2005,1.218.020.020,28.319.000.000
9/6/2005,1.233.390.015,28.855.000.000
9/8/2005,1.231.670.044,28.828.000.000
9/9/2005,1.241.479.980,29.308.000.000
9/12/2005,1.240.560.059,29.086.000.000
9/13/2005,1.231.199.951,28.873.000.000
9/14/2005,1.227.160.034,29.050.000.000
9/15/2005,1.227.729.980,29.366.000.000
9/16/2005,1.237.910.034,29.816.000.000
9/19/2005,1.231.020.020,30.076.000.000
9/20/2005,1.221.339.966,30.059.000.000
9/21/2005,1.210.199.951,30.837.000.000
9/22/2005,1.214.619.995,30.678.000.000
9/23/2005,1.215.290.039,31.294.000.000
9/26/2005,1.215.630.005,31.141.000.000
9/27/2005,1.215.660.034,30.875.000.000
9/28/2005,1.216.890.015,31.317.000.000
9/29/2005,1.227.680.054,31.209.000.000
9/30/2005,1.228.810.059,31.584.000.000
10/3/2005,1.226.699.951,31.856.000.000
10/4/2005,1.214.469.971,31.284.000.000
10/5/2005,1.196.390.015,30.164.000.000
10/6/2005,1.191.489.990,29.227.000.000
10/7/2005,1.195.900.024,29.973.000.000
10/10/2005,1.187.329.956,30.277.000.000
10/11/2005,1.184.869.995,30.614.000.000
10/13/2005,1.176.839.966,29.880.000.000
10/14/2005,1.186.569.946,29.770.000.000
10/17/2005,1.190.099.976,30.242.000.000
10/18/2005,1.178.140.015,29.068.000.000
10/19/2005,1.195.760.010,29.297.000.000
10/20/2005,1.177.800.049,28.344.000.000
10/21/2005,1.179.589.966,29.176.000.000
10/24/2005,1.199.380.005,29.835.000.000
10/25/2005,1.196.540.039,29.498.000.000
10/26/2005,1.191.380.005,29.730.000.000
10/27/2005,1.178.900.024,29.133.000.000
10/28/2005,1.198.410.034,29.318.000.000
10/31/2005,1.207.010.010,30.194.000.000
11/1/2005,1.202.760.010,30.900.000.000
11/3/2005,1.219.939.941,31.100.000.000
11/4/2005,1.220.140.015,30.888.000.000
11/7/2005,1.222.810.059,30.952.000.000
11/8/2005,1.218.589.966,30.971.000.000
11/9/2005,1.220.650.024,30.666.000.000
11/10/2005,1.230.959.961,30.725.000.000
11/11/2005,1.234.719.971,30.511.000.000
11/14/2005,1.233.760.010,30.219.000.000
11/16/2005,1.231.209.961,30.482.000.000
11/17/2005,1.242.800.049,31.087.000.000
11/18/2005,1.248.270.020,31.102.000.000
11/21/2005,1.254.849.976,31.110.000.000
11/22/2005,1.261.229.980,31.489.000.000
11/23/2005,1.265.609.985,31.943.000.000
11/25/2005,1.268.250.000,31.920.000.000
11/28/2005,1.257.459.961,31.358.000.000
11/29/2005,1.257.479.980,31.652.000.000
11/30/2005,1.249.479.980,31.917.000.000
12/1/2005,1.264.670.044,32.617.000.000
12/2/2005,1.265.079.956,32.832.000.000
12/5/2005,1.262.089.966,32.701.000.000
12/6/2005,1.263.699.951,33.223.000.000
12/7/2005,1.257.369.995,32.757.000.000
12/8/2005,1.255.839.966,32.480.000.000
12/9/2005,1.259.369.995,32.922.000.000
12/12/2005,1.260.430.054,32.971.000.000
12/13/2005,1.267.430.054,33.420.000.000
12/14/2005,1.272.739.990,33.629.000.000
12/15/2005,1.270.939.941,33.193.000.000
12/16/2005,1.267.319.946,33.292.000.000
12/19/2005,1.259.920.044,33.005.000.000
12/20/2005,1.259.619.995,33.067.000.000
12/21/2005,1.262.790.039,33.517.000.000
12/22/2005,1.268.119.995,33.513.000.000
12/23/2005,1.268.660.034,33.331.000.000
12/27/2005,1.256.540.039,33.371.000.000
12/28/2005,1.258.170.044,33.138.000.000
12/29/2005,1.254.420.044,33.456.000.000
1/3/2006,1.268.800.049,34.541.000.000
1/4/2006,1.273.459.961,35.002.000.000
1/5/2006,1.273.479.980,34.936.000.000
1/6/2006,1.285.449.951,35.475.000.000
1/9/2006,1.290.150.024,35.337.000.000
1/10/2006,1.289.689.941,35.049.000.000
1/11/2006,1.294.180.054,35.952.000.000
1/12/2006,1.286.060.059,35.779.000.000
1/13/2006,1.287.609.985,35.897.000.000
1/17/2006,1.282.930.054,36.119.000.000
1/18/2006,1.277.930.054,35.805.000.000
1/19/2006,1.285.040.039,36.858.000.000
1/20/2006,1.261.489.990,36.695.000.000
1/23/2006,1.263.819.946,36.632.000.000
1/24/2006,1.266.859.985,37.400.000.000
1/26/2006,1.273.829.956,38.014.000.000
1/27/2006,1.283.719.971,37.822.000.000
1/30/2006,1.285.189.941,38.242.000.000
1/31/2006,1.280.079.956,38.383.000.000
2/1/2006,1.282.459.961,38.485.000.000
2/2/2006,1.270.839.966,37.304.000.000
2/3/2006,1.264.030.029,37.262.000.000
2/6/2006,1.265.020.020,37.321.000.000
2/7/2006,1.254.780.029,36.562.000.000
2/8/2006,1.265.650.024,36.499.000.000
2/9/2006,1.263.780.029,36.882.000.000
2/10/2006,1.266.989.990,36.975.000.000
2/13/2006,1.262.859.985,36.114.000.000
2/14/2006,1.275.530.029,36.627.000.000
2/15/2006,1.280.000.000,37.239.000.000
2/16/2006,1.289.380.005,38.256.000.000
2/17/2006,1.287.239.990,38.422.000.000
2/21/2006,1.283.030.029,38.166.000.000
2/22/2006,1.292.670.044,38.246.000.000
2/23/2006,1.287.790.039,38.405.000.000
2/24/2006,1.289.430.054,38.610.000.000
3/1/2006,1.291.239.990,39.178.000.000
3/2/2006,1.289.140.015,39.126.000.000
3/3/2006,1.287.229.980,39.240.000.000
3/6/2006,1.278.260.010,38.354.000.000
3/7/2006,1.275.880.005,37.423.000.000
3/8/2006,1.278.469.971,37.289.000.000
3/9/2006,1.272.229.980,36.312.000.000
3/10/2006,1.281.420.044,36.891.000.000
3/13/2006,1.284.130.005,36.793.000.000
3/14/2006,1.297.479.980,37.541.000.000
3/15/2006,1.303.020.020,38.244.000.000
3/16/2006,1.305.329.956,38.157.000.000
3/17/2006,1.307.250.000,38.049.000.000
3/20/2006,1.305.079.956,38.204.000.000
3/21/2006,1.297.229.980,37.398.000.000
3/22/2006,1.305.040.039,37.851.000.000
3/23/2006,1.301.670.044,37.474.000.000
3/24/2006,1.302.949.951,37.577.000.000
3/27/2006,1.301.609.985,37.641.000.000
3/28/2006,1.293.229.980,36.682.000.000
3/29/2006,1.302.890.015,37.492.000.000
3/30/2006,1.300.250.000,37.777.000.000
3/31/2006,1.294.869.995,37.952.000.000
4/3/2006,1.297.810.059,38.717.000.000
4/4/2006,1.305.930.054,38.802.000.000
4/5/2006,1.311.560.059,39.053.000.000
4/6/2006,1.309.040.039,39.285.000.000
4/7/2006,1.295.500.000,38.926.000.000
4/10/2006,1.296.619.995,38.475.000.000
4/11/2006,1.286.569.946,37.901.000.000
4/12/2006,1.288.119.995,38.427.000.000
4/13/2006,1.289.119.995,38.082.000.000
4/17/2006,1.285.329.956,38.462.000.000
4/18/2006,1.307.280.029,39.572.000.000
4/19/2006,1.309.930.054,39.938.000.000
4/20/2006,1.311.459.961,39.775.000.000
4/24/2006,1.308.109.985,39.751.000.000
4/25/2006,1.301.739.990,39.738.000.000
4/26/2006,1.305.410.034,40.410.000.000
4/27/2006,1.309.719.971,39.751.000.000
4/28/2006,1.310.609.985,40.363.000.000
5/2/2006,1.313.209.961,41.017.000.000
5/3/2006,1.308.119.995,40.920.000.000
5/4/2006,1.312.250.000,40.976.000.000
5/5/2006,1.325.760.010,41.417.000.000
5/8/2006,1.324.660.034,41.515.000.000
5/9/2006,1.325.140.015,41.979.000.000
5/10/2006,1.322.849.976,41.752.000.000
5/11/2006,1.305.920.044,40.847.000.000
5/12/2006,1.291.239.990,40.223.000.000
5/15/2006,1.294.500.000,39.271.000.000
5/16/2006,1.292.079.956,39.416.000.000
